text,label
تحويل جميع االسيارات إلى طائرة خلال عام واحد. وفقاً لتقارير إعلامية. بحسب مصادر مطلعة صدمة كبيرة للجميع,fake
زيادة الاستثمارات الأجنبية المباشرة خلال الربع الأخير. وفقاً لتقارير إعلامية.,real
نجم عالمي يعلن اعتزاله بسبب حدث غامض غير معلن. دون تأكيد رسمي حتى الآن,fake
أعلنت شركة عالمية عن إطلاق هاتف جديد بمواصفات متطورة. وسط تفاعل واسع على مواقع التواصل صدمة كبيرة للجميع,real
نجم عالمي يعلن اعتزاله بسبب حدث غامض غير معلن. حسب مصادر رسمية. في تطور جديد للأحداث كارثة غير متوقعة,fake
وقعت مصر اتفاقية تعاون جديدة في مجال الطاقة المتجددة.,real
انقطاع الإنترنت في العالم كله بسبب هجوم غير معروف. بحسب مصادر مطلعة,fake
انخفض معدل التضخم خلال الشهر الماضي وفقاً للبنك المركزي. تداولته مواقع التواصل الاجتماعي.,fake
دواء جديد يجعل الإنسان يطير خلال دقائق بعد تناوله. وذلك وفقًا لتقارير متداولة,fake
افتتحت الحكومة مشروع جديد لتطوير البنية التحتية في القاهرة. في تطور جديد للأحداث,real
تحويل جميع االسيارات إلى طائرة خلال عام واحد.,fake
انقطاع الإنترنت في العالم كله بسبب هجوم غير معروف. وذلك وفقًا لتقارير متداولة صدمة كبيرة للجميع,fake
إلغاء التعليم في المدارس واستبداله بالذكاء الاصطناعي بالكامل غداً. تداولته مواقع التواصل الاجتماعي. وسط تفاعل واسع على مواقع التواصل,fake
أعلنت جامعة القاهرة نتائج تنسيق القبول للطلاب الجدد. في بيان رسمي اليوم. دون تأكيد رسمي حتى الآن,real
وقعت مصر اتفاقية تعاون جديدة في مجال الطاقة المتجددة. بحسب مصادر مطلعة,real
أعلنت شركة عالمية عن إطلاق هاتف جديد بمواصفات متطورة. من مصادر غير مؤكدة. وسط تفاعل واسع على مواقع التواصل,real
االعثور على علاج سحري يوقف الشيخوخة خلال أسبوع واحد. بحسب مصادر مطلعة,fake
نجم عالمي يعلن اعتزاله بسبب حدث غامض غير معلن. بحسب مصادر مطلعة لن تصدق ما حدث,fake
أعلنت شركة عالمية عن إطلاق هاتف جديد بمواصفات متطورة. حسب مصادر رسمية. في تطور جديد للأحداث لن تصدق ما حدث,real
اكتشاف مدينة تحت االأرض في الصحراء المصرية عمرها 5000 سنة بدون دليل. حسب مصادر رسمية. بحسب مصادر مطلعة,fake
انخفض معدل االتضخم خلال الشهر الماضي وفقاً للبنك المركزي. دون تأكيد رسمي حتى الآن خبر يهز العالم,real
ارتفع سعر الذهب اليوم في الأسواق العالمية بنسبة طفيفة. وسط تفاعل واسع على مواقع التواصل,real
اختفاء الأهرامات لمدة ساعة ثم عودتها فجأة وفق شهود عيان. في تطور جديد للأحداث,fake
حقق االمنتخب الوطني فوزاً في مباراة ودية استعداداً للبطولة. وذلك وفقًا لتقارير متداولة خبر يهز العالم,real
اختفاء الأهرامات لمدة ساعة ثم عودتها فجأة وفق شهود عيان.,fake
أعلنت وزارة الصحة عن تحديث جديد في نظام التطعيمات في مصر. حسب مصادر رسمية. وسط تفاعل واسع على مواقع التواصل,fake
افتتح رئيس الوزراء مصنع جديد للسيارات الكهربائية. وسط تفاعل واسع على مواقع التواصل,real
اختفاء الأهرامات لمدة ساعة ثم عودتها فجأة وفق شهود عيان. حسب مصادر رسمية. وذلك وفقًا لتقارير متداولة,real
اكتشاف مدينة تحت الأرض في الصحراء المصرية عمرها 5000 سنة بدون دليل. في بيان رسمي اليوم. وذلك وفقًا لتقارير متداولة,real
افتتح رئيس االوزراء مصنع جديد للسيارات الكهربائية. بحسب مصادر مطلعة,real
دواء جديد يجعل االإنسان يطير خلال دقائق بعد تناوله. تداولته مواقع التواصل الاجتماعي. في تطور جديد للأحداث,fake
نجم عاالمي يعلن اعتزاله بسبب حدث غامض غير معلن. في بيان رسمي اليوم.,fake
أعلنت وزارة الصحة عن تحديث جديد في نظام التطعيمات في مصر. بحسب مصادر مطلعة خبر يهز العالم,real
أعلنت شركة عالمية عن إطلاق هاتف جديد بمواصفات متطورة. تداولته مواقع التواصل الاجتماعي.,real
وقعت مصر اتفاقية تعاون جديدة في مجاال الطاقة المتجددة.,real
العثور على علاج سحري يوقف الشيخوخة خلال أسبوع واحد. تداولته مواقع التواصل الاجتماعي.,fake
كائنات فضائية تهبط في القاهرة وتلتقي بالحكومة سرًا. وسط تفاعل واسع على مواقع التواصل,fake
زيادة الاستثمارات الأجنبية المباشرة خلال الربع الأخير. في تطور جديد للأحداث,real
انقطاع الإنترنت في العالم كله بسبب هجوم غير معروف. في بيان رسمي اليوم. وسط تفاعل واسع على مواقع التواصل,real
أعلنت شركة عالمية عن إطلاق هاتف جديد بمواصفات متطورة. في بيان رسمي اليوم. وسط تفاعل واسع على مواقع التواصل,real
العثور على علاج سحري يوقف الشيخوخة خلال أسبوع واحد. وذلك وفقًا لتقارير متداولة لن تصدق ما حدث,fake
انخفض معدل االتضخم خلال الشهر الماضي وفقاً للبنك المركزي. حسب مصادر رسمية. وذلك وفقًا لتقارير متداولة كارثة غير متوقعة,real
زيادة الاستثمارات الأجنبية المباشرة خلال الربع الأخير. حسب مصادر رسمية.,real
وقعت مصر اتفاقية تعاون جديدة في مجال الطاقة المتجددة. في تطور جديد للأحداث,real
انقطاع الإنترنت في العالم كله بسبب هجوم غير معروف. وسط تفاعل واسع على مواقع التواصل لن تصدق ما حدث,real
كائنات فضائية تهبط في القاهرة وتلتقي بالحكومة سرًا. وذلك وفقًا لتقارير متداولة,fake
افتتحت االحكومة مشروع جديد لتطوير البنية التحتية في القاهرة. بحسب مصادر مطلعة,real
وقعت مصر اتفاقية تعاون جديدة في مجال الطاقة المتجددة. بحسب مصادر مطلعة,real
نجم عاالمي يعلن اعتزاله بسبب حدث غامض غير معلن. في بيان رسمي اليوم. وذلك وفقًا لتقارير متداولة لن تصدق ما حدث,fake
أعلنت جامعة القاهرة نتائج تنسيق القبول للطلاب الجدد. وذلك وفقًا لتقارير متداولة,real
انقطاع الإنترنت في العالم كله بسبب هجوم غير معروف. بحسب مصادر مطلعة صدمة كبيرة للجميع,fake
نجم عالمي يعلن اعتزاله بسبب حدث غامض غير معلن. وفقاً لتقارير إعلامية. في تطور جديد للأحداث,fake
أعلنت جامعة القاهرة نتائج تنسيق القبول للطلاب الجدد.,real
نجم عاالمي يعلن اعتزاله بسبب حدث غامض غير معلن. وسط تفاعل واسع على مواقع التواصل,fake
أعلنت وزارة االصحة عن تحديث جديد في نظام التطعيمات في مصر. لن تصدق ما حدث,real
انخفض معدل التضخم خلال الشهر الماضي وفقاً للبنك المركزي. في تطور جديد للأحداث كارثة غير متوقعة,real
أعلنت وزارة الصحة عن تحديث جديد في نظام التطعيمات في مصر.,fake
إلغاء التعليم في المدارس واستبداله بالذكاء الاصطناعي بالكامل غداً. في بيان رسمي اليوم. في تطور جديد للأحداث كارثة غير متوقعة,fake
كائنات فضائية تهبط في القاهرة وتلتقي بالحكومة سرًا. حسب مصادر رسمية. لن تصدق ما حدث,fake
زيادة االاستثمارات الأجنبية المباشرة خلال الربع الأخير. في بيان رسمي اليوم. بحسب مصادر مطلعة لن تصدق ما حدث,real
زيادة الاستثمارات الأجنبية المباشرة خلال الربع الأخير. تداولته مواقع التواصل الاجتماعي.,real
حقق المنتخب الوطني فوزاً في مباراة ودية استعداداً للبطولة. خبر يهز العالم,fake
انخفض معدل االتضخم خلال الشهر الماضي وفقاً للبنك المركزي. وسط تفاعل واسع على مواقع التواصل لن تصدق ما حدث,fake
نجم عالمي يعلن اعتزاله بسبب حدث غامض غير معلن. في بيان رسمي اليوم.,fake
نجم عالمي يعلن اعتزاله بسبب حدث غامض غير معلن. بحسب مصادر مطلعة لن تصدق ما حدث,fake
نجم عاالمي يعلن اعتزاله بسبب حدث غامض غير معلن. وفقاً لتقارير إعلامية.,fake
ارتفاع االدولار إلى 100 جنيه خلال ساعات حسب مصادر مجهولة.,fake
اكتشاف مدينة تحت الأرض في الصحراء المصرية عمرها 5000 سنة بدون دليل. وسط تفاعل واسع على مواقع التواصل كارثة غير متوقعة,fake
إلغاء التعليم في المدارس واستبداله بالذكاء الاصطناعي بالكامل غداً.,fake
أعلنت شركة عاالمية عن إطلاق هاتف جديد بمواصفات متطورة. وسط تفاعل واسع على مواقع التواصل,real
إلغاء التعليم في المدارس واستبداله بالذكاء الاصطناعي بالكامل غداً. في بيان رسمي اليوم. دون تأكيد رسمي حتى الآن كارثة غير متوقعة,fake
كائنات فضائية تهبط في القاهرة وتلتقي بالحكومة سرًا.,fake
دواء جديد يجعل الإنسان يطير خلال دقائق بعد تناوله. دون تأكيد رسمي حتى الآن,fake
العثور على علاج سحري يوقف الشيخوخة خلال أسبوع واحد.,fake
اختفاء الأهرامات لمدة ساعة ثم عودتها فجأة وفق شهود عيان. لن تصدق ما حدث,real
كائنات فضائية تهبط في القاهرة وتلتقي بالحكومة سرًا. في تطور جديد للأحداث,fake
ارتفع سعر االذهب اليوم في الأسواق العالمية بنسبة طفيفة. بحسب مصادر مطلعة,real
اكتشاف مدينة تحت االأرض في الصحراء المصرية عمرها 5000 سنة بدون دليل. وسط تفاعل واسع على مواقع التواصل كارثة غير متوقعة,fake
أعلنت جامعة القاهرة نتائج تنسيق القبول للطلاب الجدد. في تطور جديد للأحداث لن تصدق ما حدث,real
دواء جديد يجعل االإنسان يطير خلال دقائق بعد تناوله. وذلك وفقًا لتقارير متداولة لن تصدق ما حدث,real
افتتحت الحكومة مشروع جديد لتطوير البنية التحتية في القاهرة. وذلك وفقًا لتقارير متداولة,real
اختفاء الأهرامات لمدة ساعة ثم عودتها فجأة وفق شهود عيان. في بيان رسمي اليوم. في تطور جديد للأحداث,fake
انخفض معدل االتضخم خلال الشهر الماضي وفقاً للبنك المركزي. وفقاً لتقارير إعلامية. بحسب مصادر مطلعة,real
انخفض معدل التضخم خلال الشهر الماضي وفقاً للبنك المركزي. في تطور جديد للأحداث لن تصدق ما حدث,real
تحويل جميع االسيارات إلى طائرة خلال عام واحد. وذلك وفقًا لتقارير متداولة لن تصدق ما حدث,fake
افتتحت االحكومة مشروع جديد لتطوير البنية التحتية في القاهرة. حسب مصادر رسمية. وذلك وفقًا لتقارير متداولة,real
اكتشاف مدينة تحت الأرض في الصحراء المصرية عمرها 5000 سنة بدون دليل. وذلك وفقًا لتقارير متداولة,fake
افتتح رئيس الوزراء مصنع جديد للسيارات الكهربائية. دون تأكيد رسمي حتى الآن,real
إلغاء التعليم في المدارس واستبداله بالذكاء الاصطناعي بالكامل غداً.,fake
نجم عاالمي يعلن اعتزاله بسبب حدث غامض غير معلن. صدمة كبيرة للجميع,real
